ItemName,ItemType,Addon Area,Sap Code,ItemStatus,RawMaterial,Qty,Unit,Area,RawMaterial,Unit,Area,RawMaterial,Unit,Area,RawMaterial,Unit,Area,RawMaterial,Unit,Area,RawMaterial,Unit,Area,RawMaterial,Unit,Area,RawMaterial,Unit,Area
Kesar Pista Macarons,Item,,,Active,Kesar Pista Macarons,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Lemon Curd Macarons,Item,,,Active,Lemon Curd Macarons,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Paan And Gulkand Macarons,Item,,,Active,Paan & Gulkand Macarons,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Strawberry Macarons,Item,,,Active,Strawberry Macarons,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Filter Coffee Macarons,Item,,,Active,Filter Coffee Macarons,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
CHILLI GUVAVA JUICE,Item,,,Active,Chill Guava Premium Juice Bottles,1,NOS,All,,,,,,,,,,,,,,,,,,,,,
PINAPPLE JUICE,Item,,,Active,Pineapple Premium Juice Bottles,1,NOS,All,,,,,,,,,,,,,,,,,,,,,
ORANGE JUICE,Item,,,Active,Orange Premium Juice Bottles,1,NOS,All,,,,,,,,,,,,,,,,,,,,,
MANGO JUICE,Item,,,Active,Mango Premium Juice Bottles,1,NOS,All,,,,,,,,,,,,,,,,,,,,,
Rosella Jam With Filter Coffee Ganache Macaroon (3 PCS),Item,,,Active,Rosella Jam With Filter Coffee Ganache Macaroon,3,PCS,All,,,,,,,,,,,,,,,,,,,,,
Rosella Jam With Filter Coffee Ganache Macaroon (2 PCS),Item,,,Active,Rosella Jam With Filter Coffee Ganache Macaroon,2,PCS,All,,,,,,,,,,,,,,,,,,,,,
Rosella Jam With Filter Coffee Ganache Macaroon (1 PIC),Item,,,Active,Rosella Jam With Filter Coffee Ganache Macaroon,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Rosella Cheesecake Berliner,Item,,,Active,Rosella Cheesecake Berliner,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Strawberry White Chocolate Ganache With Rosella Jam Macaroon,Item,,,Active,Strawberry White Chocolate Ganache With Rosella Jam Macaroon,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Strawbery Rosella Frangipani Tart,Item,,,Active,Strawberry Rosella Frangipani Tart,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Hamper,Item,,,Active,Hamper,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Sea Salt Dark Mocha Frappe (450 ML),Item,,,Active,Coffee Beans Lce Arabica,13,GM,All,Amul Milk,ML,All,Frappe Powder,GM,All,Madagascar Chocolate Sauce,GM,All,Madagascar Chocolate,GM,All,Coffee Beans Robusta Honey,GM,All,,,,,,
Sea Salt Dark Mocha Frappe (350 ML),Item,,,Active,Amul Milk,120,ML,All,Frappe Powder,GM,All,Madagascar Chocolate Sauce,GM,All,Madagascar Chocolate,GM,All,Coffee Beans Lce Arabica,GM,All,Coffee Beans Robusta Honey,GM,All,,,,,,
Almond Honey Latte (350 ML),Item,,,Active,Coffee Beans Lce Arabica,13,GM,All,Amul Milk,ML,All,Coffee Beans Robusta Honey,GM,All,,,,,,,,,,,,,,,
Almond Honey Latte (250 ML),Item,,,Active,Coffee Beans Lce Arabica,13,GM,All,Coffee Beans Robusta Honey,GM,All,Almond Milk,ML,All,,,,,,,,,,,,,,,
Iced Mocha (450 ML),Item,,,Active,Coffee Beans Lce Arabica,13,GM,All,Amul Milk,ML,All,Coffee Beans Robusta Honey,GM,All,,,,,,,,,,,,,,,
Iced Mocha (350 ML),Item,,,Active,Coffee Beans Lce Arabica,13,GM,All,Amul Milk,ML,All,Coffee Beans Robusta Honey,GM,All,,,,,,,,,,,,,,,
Vanilla Praline (450 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Amul Milk,ML,All,Frappe Powder,GM,All,Caramel Syrup,ML,All,Coffee Beans Lce Arabica,GM,All,,,,,,,,,
Vanilla Praline (350 ML),Item,,,Active,Amul Milk,120,ML,All,Frappe Powder,GM,All,Caramel Syrup,ML,All,Coffee Beans Lce Arabica,GM,All,Coffee Beans Robusta Honey,GM,All,Vanilla Syrup,ML,All,,,,,,
Caramel Frappe (450 ML),Item,,,Active,Coffee Beans Lce Arabica,13,GM,All,Amul Milk,ML,All,Frappe Powder,GM,All,Caramel Syrup,ML,All,Coffee Beans Robusta Honey,GM,All,,,,,,,,,
Caramel Frappe (350 ML),Item,,,Active,Coffee Beans Lce Arabica,13,GM,All,Amul Milk,ML,All,Frappe Powder,GM,All,Caramel Syrup,ML,All,Coffee Beans Robusta Honey,GM,All,,,,,,,,,
ALMOND MILK (200 ML),Item,,,Active,Almond Milk,200,ML,All,,,,,,,,,,,,,,,,,,,,,
ALMOND MILK (150 ML),Item,,,Active,Almond Milk,150,ML,All,,,,,,,,,,,,,,,,,,,,,
Hyderabadi Chicken Keema Pav,Item,,,Active,Hyderabadi Chicken Keema Pav,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Hyderabadi Soya Keema Pav,Item,,,Active,Hyderabadi Soya Keema Pav,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Baked Pav Bhaji,Item,,,Active,Baked Pav Bhaji,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Choco-crinkle-cookies (COMBO 9 PCS),Item,,,Active,Choco-crinkle-cookies,3,PCS,All,,,,,,,,,,,,,,,,,,,,,
Choco-crinkle-cookies (COMBO 6 PCS),Item,,,Active,Choco-crinkle-cookies,2,PCS,All,,,,,,,,,,,,,,,,,,,,,
Choco-crinkle-cookies (COMBO 3 PCS),Item,,,Active,Choco-crinkle-cookies,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Samosas Chicken (COMBO 9 PCS),Item,,,Active,Samosa Chicken Chettinad,9,PCS,All,,,,,,,,,,,,,,,,,,,,,
Samosas Chicken (COMBO 6 PCS),Item,,,Active,Samosa Chicken Chettinad,6,PCS,All,,,,,,,,,,,,,,,,,,,,,
Samosas Chicken (COMBO 3 PCS),Item,,,Active,Samosa Chicken Chettinad,3,PCS,All,,,,,,,,,,,,,,,,,,,,,
Samosas Chicken (3 PCS),Item,,,Active,Samosa Chicken Chettinad,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Mix Tartlet 3 Pcs (salted Caramel tartlet),Item,,,Active,Salted Caramel Tartlet,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Mix Tartlet 3 Pcs (kodai cheese tartlet),Item,,,Active,Kodai Cheese Tartlet,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Mix Tartlet 3 Pcs (Filter Kaapi Tartlet),Item,,,Active,Filter Kaapi Tartlet,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Mix Tartlet 3 Pcs (Kacha Nimbu Tartlet),Item,,,Active,Kacha Nimbu Tartlet,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Mix Tartlet 3 Pcs (chocolate Tartlet),Item,,,Active,Chocolate Tartlet,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Mix MACRONS 3 Pcs (STRAWBERRY MACRON),Item,,,Active,Samosa Paneer Ghee Roast,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Mix MACRONS 3 Pcs (FILTER COFFEE MACRONS),Item,,,Active,Samosa Veg Ghee Roast,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Papparoti (Add On Nutella sauce),Item,,,Active,Papparoti,1,PCS,All,Nutella Sauce,GM,All,,,,,,,,,,,,,,,,,,
Papparoti (Plain),Item,,,Active,Papparoti,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Chicken Calzone,Item,,,Active,Calzone Chicken,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Samosas Veg (Veg Ghee Roast Samosa),Item,,,Active,Samosa Veg Ghee Roast,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Mix Tartlet 9 Pcs (kodai cheese tartlet),Item,,,Active,Kodai Cheese Tartlet,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Mix Tartlet 9 Pcs (chocolate Tartlet),Item,,,Active,Chocolate Tartlet,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Mix Tartlet 9 Pcs (Kacha Nimbu Tartlet),Item,,,Active,Kacha Nimbu Tartlet,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Mix Tartlet 9 Pcs (Filter Kaapi Tartlet),Item,,,Active,Filter Kaapi Tartlet,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Mix Tartlet 9 Pcs (Salted Caramel Tartlet),Item,,,Active,Salted Caramel Tartlet,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Gluten Free Hazelnut Brownie,Item,,,Active,Gluten Free Hazelnut Brownie,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Espresso Tonic (Tonic Water),Item,,,Active,Coffee Beans Lce Arabica,16,GM,All,Tonic Water Britvit,BTL,All,,,,,,,,,,,,,,,,,,
Samosas Veg (Samosa Paneer Ghee Roast),Item,,,Active,Samosa Paneer Ghee Roast,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Calzones Veg (Calzone Veg),Item,,,Active,Calzone Veg,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Calzones Veg (Calzone Paneer),Item,,,Active,Calzone Paneer,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Tartlets (Salted Caramel Tartlet),Item,,,Active,Salted Caramel Tartlet,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Tartlets (chocolate Tartlet),Item,,,Active,Chocolate Tartlet,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Tartlets (Filter Kaapi Tartlet),Item,,,Active,Filter Kaapi Tartlet,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Tartlets (Kacha Nimbu Tartlet),Item,,,Active,Kacha Nimbu Tartlet,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Tartlets (kodai cheese tartlet),Item,,,Active,Kodai Cheese Tartlet,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Berliners (Dark Choco Mousse Berliner),Item,,,Active,Dark Choco Mousse Berliner,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Berliners (Nutella Berliner),Item,,,Active,Nutella Berliner,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Berliners (Blueberry Cheese Cake Berliner),Item,,,Active,Blueberry Cheese Cake Berliner,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Berliners (Lotus Biscoff Berliner),Item,,,Active,Lotus Biscoff Berliner,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
OAT MILK (200 ML),Item,,,Active,Oat Milk,200,ML,All,,,,,,,,,,,,,,,,,,,,,
OAT MILK (150 ML),Item,,,Active,Oat Milk,150,ML,All,,,,,,,,,,,,,,,,,,,,,
Soya Milk (150 ML),Item,,,Active,Soya Milk,200,ML,All,,,,,,,,,,,,,,,,,,,,,
Mix Tartlet 6 Pcs (salted Caramel tartlet),Item,,,Active,Salted Caramel Tartlet,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Mix Tartlet 6 Pcs (kodai cheese tartlet),Item,,,Active,Kodai Cheese Tartlet,1,PCS,All,,,,,,,,,,,,,,,,,,,,,
Add On Syrup (Add On hazelnuts Syrup),Item,,,Active,Hazelnut Syrup,30,ML,All,,,,,,,,,,,,,,,,,,,,,
Add On Syrup (Add On Vanilla Syrup),Item,,,Active,Vanilla Syrup,30,ML,All,,,,,,,,,,,,,,,,,,,,,
Add On Syrup (Add On Irish Syrup),Item,,,Active,Irish Syrup,30,ML,All,,,,,,,,,,,,,,,,,,,,,
Add On Syrup (Add On Tiramisu Syrup),Item,,,Active,Tiramisu Syrup,30,ML,All,,,,,,,,,,,,,,,,,,,,,
Add On Syrup (Add On Nutella sauce),Item,,,Active,Nutella Sauce,30,GM,All,,,,,,,,,,,,,,,,,,,,,
Add On Syrup (Add On Dark chocolate Sauce),Item,,,Active,Madagascar Chocolate Sauce,30,GM,All,,,,,,,,,,,,,,,,,,,,,
Add On Syrup (Add On Caramel Syrup),Item,,,Active,Caramel Syrup,30,ML,All,,,,,,,,,,,,,,,,,,,,,
Add On Syrup (Add On Cinnamon Syrup),Item,,,Active,Cinnamon Syrup,30,ML,All,,,,,,,,,,,,,,,,,,,,,
ESPRESSO (30 ML),Item,,,Active,Coffee Beans Robusta Honey,1.5,GM,All,Coffee Beans Lce Arabica,GM,All,,,,,,,,,,,,,,,,,,
ESPRESSO (60 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,,,,,,,,,,,,,,,,,,
Madagascar Hot Chocolate (250 ML),Item,,,Active,Madagascar Chocolate Sauce,30,GM,All,Amul Milk,ML,All,Madagascar Chocolate,GM,All,,,,,,,,,,,,,,,
Madagascar Hot Chocolate (350 ML),Item,,,Active,Madagascar Chocolate Sauce,40,GM,All,Amul Milk,ML,All,Madagascar Chocolate,GM,All,,,,,,,,,,,,,,,
Hot Chocolate (350 ML),Item,,,Active,Amul Milk,200,ML,All,Madagascar Chocolate Sauce,GM,All,,,,,,,,,,,,,,,,,,
Hot Chocolate (250 ML),Item,,,Active,Amul Milk,150,ML,All,Madagascar Chocolate Sauce,GM,All,,,,,,,,,,,,,,,,,,
Origanal South Indian Frappe (450 ML),Item,,,Active,Filter Coffee,60,GM,All,Ice,GM,All,Amul Milk,ML,All,Frappe Powder,GM,All,Sugar Syrup,ML,All,,,,,,,,,
Origanal South Indian Frappe (350 ML),Item,,,Active,Filter Coffee,60,GM,All,Ice,GM,All,Amul Milk,ML,All,Frappe Powder,GM,All,Sugar Syrup,ML,All,,,,,,,,,
Nariyal Irish Cream Frappe (450 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,Ice,GM,All,Amul Milk,ML,All,Frappe Powder,GM,All,Sugar Syrup,ML,All,Irish Syrup,ML,All,Coconut Milk Powder,GM,All
Nariyal Irish Cream Frappe (350 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,Ice,GM,All,Amul Milk,ML,All,Frappe Powder,GM,All,Sugar Syrup,ML,All,Irish Syrup,ML,All,Coconut Milk Powder,GM,All
Hazelnut Frappe (450 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,Ice,GM,All,Amul Milk,ML,All,Frappe Powder,GM,All,Sugar Syrup,ML,All,Hazelnut Syrup,ML,All,,,
Hazelnut Frappe (350 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,Ice,GM,All,Amul Milk,ML,All,Frappe Powder,GM,All,Sugar Syrup,ML,All,Hazelnut Syrup,ML,All,,,
Almond Frappe (450 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,Ice,GM,All,Almond Milk,ML,All,Frappe Powder,GM,All,Sugar Syrup,ML,All,,,,,,
Almond Frappe (350 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,Ice,GM,All,Almond Milk,ML,All,Frappe Powder,GM,All,Sugar Syrup,ML,All,,,,,,
Madagascar Chocochip Frappe (450 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,Ice,GM,All,Amul Milk,ML,All,Frappe Powder,GM,All,Sugar Syrup,ML,All,Madagascar Chocolate Sauce,GM,All,Madagascar Chocolate,GM,All
Madagascar Chocochip Frappe (350 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,Ice,GM,All,Amul Milk,ML,All,Frappe Powder,GM,All,Sugar Syrup,ML,All,Madagascar Chocolate Sauce,GM,All,Madagascar Chocolate,GM,All
Iced Latte (450 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,Ice,GM,All,Amul Milk,ML,All,,,,,,,,,,,,
Iced Latte (350 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,Ice,GM,All,Amul Milk,ML,All,,,,,,,,,,,,
Iced Americano (450 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,Ice,GM,All,,,,,,,,,,,,,,,
Iced Americano (350 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,Ice,GM,All,,,,,,,,,,,,,,,
Classic Frappe (450 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,Ice,GM,All,Amul Milk,ML,All,Frappe Powder,GM,All,Sugar Syrup,ML,All,,,,,,
Classic Frappe (350 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,Ice,GM,All,Amul Milk,ML,All,Frappe Powder,GM,All,Sugar Syrup,ML,All,,,,,,
Vietnamese (450 ML),Item,,,Active,Filter Coffee,15,GM,All,Ice,GM,All,Amul Milk,ML,All,Frappe Powder,GM,All,Sugar Syrup,ML,All,Milkmaid,GM,All,,,,,,
Vietnamese (350 ML),Item,,,Active,Filter Coffee,60,GM,All,Ice,GM,All,Amul Milk,ML,All,Frappe Powder,GM,All,Sugar Syrup,ML,All,Milkmaid,GM,All,,,,,,
Bon Bon (450 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,Ice,GM,All,Amul Milk,ML,All,Frappe Powder,GM,All,Sugar Syrup,ML,All,Milkmaid,GM,All,,,
Bon Bon (350 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,Ice,GM,All,Amul Milk,ML,All,Frappe Powder,GM,All,Sugar Syrup,ML,All,Milkmaid,GM,All,,,
Irish Americano (250 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,Irish Syrup,ML,All,,,,,,,,,,,,,,,
Irish Americano (350 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,Irish Syrup,ML,All,,,,,,,,,,,,,,,
Kaapicino (250 ML),Item,,,Active,Filter Coffee,11,GM,All,Jaggery Powder Sachet,SACHET,All,Amul Milk,ML,All,,,,,,,,,,,,,,,
Kaapicino (350 ML),Item,,,Active,Filter Coffee,40,GM,All,Jaggery Powder Sachet,SACHET,All,Amul Milk,ML,All,,,,,,,,,,,,,,,
Cafe Mocha (350 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,Madagascar Chocolate Sauce,GM,All,Amul Milk,ML,All,,,,,,,,,,,,
Cafe Mocha (250 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,Madagascar Chocolate Sauce,GM,All,Amul Milk,ML,All,,,,,,,,,,,,
Sea Salt Dark Mocha (350 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,Madagascar Chocolate Sauce,GM,All,Amul Milk,ML,All,,,,,,,,,,,,
Sea Salt Dark Mocha (250 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,Madagascar Chocolate Sauce,GM,All,Amul Milk,ML,All,,,,,,,,,,,,
Cappucino (350 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,Amul Milk,ML,All,,,,,,,,,,,,,,,
Cappucino (250 ML),Item,,,Active,Coffee Beans Robusta Honey,3.5,GM,All,Coffee Beans Lce Arabica,GM,All,Amul Milk,ML,All,,,,,,,,,,,,,,,
